                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.1193,                 1.9013,                0.85758,                0.03106,                    0.7,                0.03203,                0.01127,                 1.0124,                 3.9659,                0.95868,             0.00035657,             0.00035657,             0.00035657
                     47,                 1.1591,                 2.1684,                0.89546,                0.03711,                    0.8,                0.04692,                0.02437,                  1.014,                 3.8823,                0.94306,             0.00035799,             0.00035799,             0.00035799
                     48,                0.92351,                 1.8598,                0.86646,                0.03711,                    0.8,                0.04692,                0.02437,                  1.014,                 3.8823,                0.94306,             0.00035912,             0.00035912,             0.00035912
                     49,                 1.0462,                 2.1584,                  0.834,                0.04232,                    0.9,                0.05443,                0.02672,                0.95453,                 3.7684,                0.92618,             0.00035997,             0.00035997,             0.00035997
                     50,                 1.1121,                 2.3148,                0.88807,                0.04232,                    0.9,                0.05443,                0.02672,                0.95453,                 3.7684,                0.92618,             0.00036054,             0.00036054,             0.00036054
                     51,                 1.0545,                 2.1231,                0.92768,                0.04468,                      1,                0.07058,                0.04203,                0.89598,                 3.6552,                0.90861,             0.00036082,             0.00036082,             0.00036082
                     52,                 1.1847,                 1.8434,                0.89081,                0.04468,                      1,                0.07058,                0.04203,                0.89598,                 3.6552,                0.90861,             0.00036082,             0.00036082,             0.00036082
                     53,                0.92802,                 1.8208,                0.84853,                0.04468,                      1,                0.07058,                0.04203,                0.89598,                 3.6552,                0.90861,             0.00036054,             0.00036054,             0.00036054
                     54,                 1.3838,                 2.5209,                 0.9146,                 0.0329,                      1,                0.30283,                0.18568,                0.90586,                 3.3762,                 0.8846,             0.00035998,             0.00035998,             0.00035998
                     55,                 1.0142,                 1.8535,                0.81898,                 0.0329,                      1,                0.30283,                0.18568,                0.90586,                 3.3762,                 0.8846,             0.00035913,             0.00035913,             0.00035913
                     56,                 1.1472,                 1.9332,                 0.8542,                 0.0329,                      1,                0.30283,                0.18568,                0.90586,                 3.3762,                 0.8846,               0.000358,               0.000358,               0.000358
                     57,                0.89409,                 1.8937,                0.87079,                0.03342,                      1,                0.65761,                0.44703,                0.96159,                 3.1452,                0.88536,             0.00035659,             0.00035659,             0.00035659
                     58,                 1.0393,                 1.7241,                 0.8871,                0.03342,                      1,                0.65761,                0.44703,                0.96159,                 3.1452,                0.88536,             0.00035489,             0.00035489,             0.00035489
                     59,                 1.2826,                 1.9693,                0.84169,                0.03342,                      1,                0.65761,                0.44703,                0.96159,                 3.1452,                0.88536,             0.00035291,             0.00035291,             0.00035291
                     60,                 0.8899,                 1.9259,                0.92727,                0.03105,                      1,                0.74625,                0.50681,                 1.0252,                 2.9585,                0.90308,             0.00035065,             0.00035065,             0.00035065
                     61,                0.95775,                 1.6251,                0.86462,                0.03105,                      1,                0.74625,                0.50681,                 1.0252,                 2.9585,                0.90308,              0.0003481,              0.0003481,              0.0003481
                     62,                 1.2639,                 2.0485,                0.92056,                0.03105,                      1,                0.74625,                0.50681,                 1.0252,                 2.9585,                0.90308,             0.00034528,             0.00034528,             0.00034528
                     63,                0.95042,                 1.8557,                0.80923,                0.03076,                      1,                0.74625,                0.47375,                 1.1319,                 2.7858,                 0.9288,             0.00034217,             0.00034217,             0.00034217
                     64,                0.97439,                 2.4072,                0.89577,                0.03076,                      1,                0.74625,                0.47375,                 1.1319,                 2.7858,                 0.9288,             0.00033877,             0.00033877,             0.00033877
